Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,412.739990,413.739990,407.040009,409.260010,407.314423,1085900
2022-09-13,401.769989,404.079987,394.119995,395.170013,393.291382,526700
2022-09-14,395.540009,398.950012,394.149994,396.190002,394.306519,436400
2022-09-15,395.019989,396.739990,383.899994,384.000000,382.174469,582600
2022-09-16,380.679993,385.200012,378.790009,382.100006,380.283508,891000
2022-09-19,379.779999,383.529999,377.130005,382.350006,380.532318,640800
2022-09-20,379.600006,379.910004,372.869995,378.540009,376.740448,700500
2022-09-21,381.170013,384.010010,372.190002,372.399994,370.629608,370400
2022-09-22,370.450012,378.369995,370.450012,375.570007,373.784546,662600
2022-09-23,373.709991,378.450012,371.890015,378.000000,376.203003,744900
2022-09-26,378.869995,381.579987,374.600006,377.070007,375.277435,791900
2022-09-27,379.859985,380.970001,364.970001,366.899994,365.155792,583600
2022-09-28,369.179993,372.309998,365.570007,370.529999,368.768524,531000
2022-09-29,368.070007,369.269989,363.720001,366.750000,365.006500,446300
2022-09-30,365.839996,368.250000,359.220001,359.640015,357.930298,663400
2022-10-03,363.100006,374.299988,361.690002,372.239990,370.470398,514500
2022-10-04,376.720001,382.920013,376.119995,379.950012,378.143738,445900
2022-10-05,374.390015,383.250000,374.390015,380.450012,379.260254,478900
2022-10-06,380.190002,384.399994,379.500000,380.329987,379.140594,570200
2022-10-07,376.769989,377.920013,367.230011,369.369995,368.214874,577200
2022-10-10,371.089996,371.899994,364.489990,365.119995,363.978149,419400
2022-10-11,365.000000,372.670013,363.010010,364.130005,362.991272,540100
2022-10-12,365.220001,369.859985,365.000000,365.950012,364.805603,699700
2022-10-13,357.200012,372.239990,356.220001,370.500000,369.341370,483000
2022-10-14,374.410004,376.929993,362.720001,363.179993,362.044250,469900
2022-10-17,371.200012,373.109985,369.369995,370.940002,369.779968,373400
2022-10-18,380.880005,380.880005,370.309998,375.390015,374.216064,440300
2022-10-19,370.750000,375.019989,368.859985,371.429993,370.268433,248700
2022-10-20,372.459991,373.869995,366.850006,367.410004,366.261017,451400
2022-10-21,367.000000,372.579987,365.109985,370.730011,369.570648,744400
2022-10-24,373.820007,375.809998,370.559998,372.750000,371.584290,1057300
2022-10-25,374.140015,379.980011,373.119995,378.000000,376.817902,1220900
2022-10-26,385.160004,397.859985,381.839996,388.649994,387.434570,1385600
2022-10-27,392.750000,402.480011,392.750000,400.369995,399.117920,1003400
2022-10-28,400.899994,413.859985,400.899994,413.709991,412.416229,773600
2022-10-31,411.959991,416.739990,410.910004,414.540009,413.243622,745700
2022-11-01,416.690002,418.220001,409.440002,413.709991,412.416229,570000
2022-11-02,413.630005,416.920013,402.250000,403.119995,401.859314,522700
2022-11-03,395.760010,402.390015,393.989990,397.720001,396.476227,630000
2022-11-04,403.000000,403.890015,388.660004,396.029999,394.791504,857500
2022-11-07,397.670013,413.049988,397.670013,412.619995,411.329620,725300
2022-11-08,415.929993,424.100006,413.220001,416.429993,415.127686,873000
2022-11-09,414.779999,417.829987,413.910004,416.200012,414.898438,549600
2022-11-10,437.690002,438.429993,429.559998,438.429993,437.058899,647400
2022-11-11,438.000000,442.760010,433.950012,438.359985,436.989105,609200
2022-11-14,438.100006,441.480011,432.079987,432.589996,431.237183,521800
2022-11-15,436.260010,439.359985,431.950012,435.950012,434.586700,469400
2022-11-16,435.000000,435.130005,429.440002,431.399994,430.050903,474700
2022-11-17,425.149994,430.839996,422.609985,429.619995,428.276459,458200
2022-11-18,427.989990,434.980011,422.290009,433.010010,431.655853,401500
2022-11-21,431.649994,438.359985,431.540009,434.500000,433.141205,406200
2022-11-22,435.720001,437.109985,427.559998,432.739990,431.386688,557000
2022-11-23,433.420013,435.970001,431.730011,433.619995,432.263947,651400
2022-11-25,433.410004,438.959991,432.549988,436.380005,435.015320,177700
2022-11-28,434.660004,435.480011,423.019989,424.029999,422.703949,549200
2022-11-29,422.429993,425.359985,420.690002,425.250000,423.920135,437500
2022-11-30,423.980011,438.940002,422.410004,438.890015,437.517487,589500
2022-12-01,442.119995,446.299988,440.570007,444.730011,443.339203,389900
2022-12-02,437.619995,445.559998,436.779999,443.869995,442.481903,292900
2022-12-05,443.279999,443.279999,435.519989,436.820007,435.453949,261100
2022-12-06,436.829987,436.829987,430.929993,434.059998,432.702576,275900
2022-12-07,434.070007,439.429993,431.299988,434.220001,432.862061,251200
2022-12-08,434.329987,439.059998,432.790009,433.630005,432.273926,276500
2022-12-09,432.450012,434.839996,430.540009,431.329987,429.981079,270300
2022-12-12,433.790009,439.980011,431.989990,439.880005,438.504364,316100
2022-12-13,450.000000,451.250000,440.010010,443.850006,442.461975,421600
2022-12-14,443.149994,448.510010,435.470001,438.790009,437.417786,377900
2022-12-15,434.850006,435.779999,426.959991,429.600006,428.256531,462700
2022-12-16,426.149994,427.429993,421.089996,424.359985,423.032898,655100
2022-12-19,424.029999,428.119995,421.410004,423.350006,422.026062,282200
2022-12-20,421.920013,427.179993,420.700012,424.510010,423.182465,301000
2022-12-21,427.230011,432.820007,424.839996,430.839996,429.492615,251000
2022-12-22,426.410004,428.739990,420.929993,428.510010,427.169952,369900
2022-12-23,427.040009,430.260010,425.200012,430.109985,428.764923,189900
2022-12-27,430.339996,433.940002,428.269989,433.149994,431.795410,287800
2022-12-28,433.839996,436.339996,425.989990,426.179993,424.847198,200700
2022-12-29,428.859985,437.820007,427.970001,436.869995,435.503784,227500
